record_id,is_synthetic,split,narrative,attack_vector,attribution,awareness,misconception,emotion_panic,emotion_anger,emotion_fear,emotion_confusion,emotion_neutral,assist_fund_recovery,assist_account_recovery,assist_content_removal,assist_legal_action,assist_investigation,action_bank,action_password_reset,action_police,action_account_block,pred_attack_vector,pred_attribution,pred_awareness,pred_misconception,pred_emotion_panic,pred_emotion_anger,pred_emotion_fear,pred_emotion_confusion,pred_emotion_neutral,pred_assist_fund_recovery,pred_assist_account_recovery,pred_assist_content_removal,pred_assist_legal_action,pred_assist_investigation,pred_action_bank,pred_action_password_reset,pred_action_police,pred_action_account_block
SYN-0001,1,train,"I received an email appearing to be from my bank, used its sign-in link, and later noticed an unauthorized transfer.",0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0002,1,train,"A caller requested a verification code, after which money was debited; I informed my bank.",1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0003,1,train,"I installed an application from a support link, lost account access, and changed my password.",2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SYN-0004,1,train,My online account became inaccessible; I reset the password but remain worried about its security.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
SYN-0005,1,train,"A supposed buyer asked me to approve a payment request, but the amount was deducted instead of credited.",4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
SYN-0006,1,train,"I noticed an unauthorized transaction without any known associated message, call, link, or application.",5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
SYN-0007,1,train,I paid a delivery charge through a message link and later saw transactions I did not recognize.,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
SYN-0008,1,train,Someone claiming to be support requested a verification code and then changed my account details.,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
SYN-0009,1,train,I installed an application for a supposed refund and later found money transferred from my account.,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
SYN-0010,1,train,An unknown person accessed my profile and posted content; I changed my password and requested removal.,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
